molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL186957,Cc1c(O)c(Br)c2oc3ccccc3c(=O)c2c1O,IC50,=,14900.0,nM
CHEMBL187247,CC(C)=CCC/C(C)=C\Cc1c(O)cc(O)c2c(=O)c3cccc(O)c3oc12,IC50,=,37000.0,nM
CHEMBL183946,CC(C)=CCc1cc(O)c2oc3c(O)cccc3c(=O)c2c1O,IC50,=,3300.0,nM
CHEMBL188061,CC(C)=CCc1cc(O)c2c(=O)c3cccc(O)c3oc2c1O,IC50,=,40000.0,nM
CHEMBL186433,COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,IC50,=,2700.0,nM
CHEMBL186576,COc1c(O)cc2oc3c(OC)cccc3c(=O)c2c1O,IC50,=,51000.0,nM
CHEMBL186888,COc1cc2oc3c(OC)cccc3c(=O)c2c(OC)c1OC,IC50,=,37000.0,nM
CHEMBL361025,O=c1c2cc(O)ccc2oc2cc(O)cc(O)c12,IC50,=,8000.0,nM
CHEMBL184574,O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12,IC50,=,13000.0,nM
CHEMBL185776,COc1cc(O)c2c(=O)c3c(O)ccc(O)c3oc2c1,IC50,=,660.0,nM
CHEMBL187043,O=c1c2c(O)cc(O)cc2oc2ccc(O)c(O)c12,IC50,=,24000.0,nM
CHEMBL187044,COc1cc(O)c2c(=O)c3c(O)c(O)ccc3oc2c1,IC50,=,8500.0,nM
CHEMBL26323,COc1cc(O)c2c(=O)c3c(OC)c(OC)ccc3oc2c1,IC50,=,19000.0,nM
CHEMBL187265,O=c1c2cc(O)c(O)cc2oc2cc(O)cc(O)c12,IC50,=,25000.0,nM
CHEMBL435101,COc1cc(O)c2oc3c(C)ccc(OC)c3c(=O)c2c1,IC50,=,24000.0,nM
CHEMBL187694,COc1c(O)cc2oc3c(OC)c(O)ccc3c(=O)c2c1O,IC50,=,32000.0,nM
CHEMBL1255743,Cl.N[C@@H]1C[C@H]1c1ccccc1,IC50,=,20000.0,nM
CHEMBL2093956,Cc1ccc([C@@]2(F)C[C@H]2N)cc1.Cl,IC50,=,6700.0,nM
CHEMBL903,NNC(N)=O,IC50,=,6700.0,nM
CHEMBL202018,Cc1cc(=O)oc2cc(OC3CCCCC3=O)ccc12,IC50,=,43020.0,nM
CHEMBL202112,Cc1cc(=O)oc2cc3oc4c(c3cc12)CCCC4,IC50,=,65250.0,nM
CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,IC50,=,85110.0,nM
CHEMBL382645,NCCCOc1c2occc2cc2ccc(=O)oc12,IC50,=,2510.0,nM
CHEMBL202017,Cc1coc2cc3oc(=O)c(NC(=O)CN)cc3cc12,IC50,=,12350.0,nM
CHEMBL372346,COc1c2oc(=O)c(N)cc2cc2c(C)coc12,IC50,=,21740.0,nM
CHEMBL201250,COc1c(OCC(C)=O)ccc2cc(NC(C)=O)c(=O)oc12,IC50,=,6430.0,nM
CHEMBL201199,COc1c(OC2CCCCC2=O)ccc2c(C)cc(=O)oc12,IC50,=,11130.0,nM
CHEMBL202218,COc1cc(OC2CCCCC2=O)cc2oc(=O)cc(C)c12,IC50,=,21410.0,nM
CHEMBL424673,Cc1cc(=O)oc2cc3oc4c(c3cc12)CCC4,IC50,=,11900.0,nM
CHEMBL372943,Cc1cc(=O)oc2cc(OC3CCCC3=O)ccc12,IC50,=,40.0,nM
CHEMBL201777,Cc1cc(=O)oc2cc3oc4ccccc4c3cc12,IC50,=,7240.0,nM
CHEMBL202093,CCN(CC)CCCOc1c2occc2cc2ccc(=O)oc12,IC50,>,200000.0,nM
CHEMBL383284,COc1c(O)ccc2cc(N)c(=O)oc12,IC50,>,200000.0,nM
