molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL357614,Cc1c(C)c2ccc(OCc3c(F)c(F)c(F)c(F)c3F)cc2oc1=O,IC50,=,1.622,nM
CHEMBL142582,Cc1c(C)c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2oc1=O,IC50,=,1.122,nM
CHEMBL145792,Cc1c(C)c2ccc(OCc3ccc(C#N)cc3)cc2oc1=O,IC50,=,2.344,nM
CHEMBL274030,Cc1c(C)c2ccc(OCc3ccc(Cl)cc3)cc2oc1=O,IC50,=,1.479,nM
CHEMBL276076,Cc1c(C)c2ccc(OCc3ccc(F)cc3)cc2oc1=O,IC50,=,1.549,nM
CHEMBL18966,Cc1ccc(COc2ccc3c(C)c(C)c(=O)oc3c2)cc1,IC50,=,1.38,nM
CHEMBL356977,Cc1c(C)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2oc1=O,IC50,=,1.096,nM
CHEMBL356714,Cc1c(C)c2ccc(OCc3cccc(C#N)c3)cc2oc1=O,IC50,=,1.413,nM
CHEMBL143555,Cc1c(C)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2oc1=O,IC50,=,4.266,nM
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,IC50,=,2.138,nM
CHEMBL108697,Cc1c(C)c2ccc(OCc3cccc(F)c3)cc2oc1=O,IC50,=,0.912,nM
CHEMBL439811,CC(=O)Nc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,IC50,=,7.943,nM
CHEMBL145003,Cc1c(C)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2oc1=O,IC50,=,3.631,nM
CHEMBL111310,COc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,IC50,=,1.66,nM
CHEMBL109085,Cc1cccc(COc2ccc3c(C)c(C)c(=O)oc3c2)c1,IC50,=,1.202,nM
CHEMBL342327,Cc1c(C)c2ccc(OCc3ccccc3C#N)cc2oc1=O,IC50,=,1.95,nM
CHEMBL214255,O=c1ccc2ccc(OS(=O)(=O)c3ccccc3)cc2o1,IC50,=,2238.72,nM
CHEMBL342724,Cc1c(C)c2cc(OCc3ccccc3)c(O)cc2oc1=O,IC50,=,125.89,nM
CHEMBL142916,Cc1c(C)c2cc(O)c(OCc3ccccc3)cc2oc1=O,IC50,=,3.89,nM
CHEMBL145452,COc1ccc(S(=O)(=O)Oc2ccc3c(C)c(C)c(=O)oc3c2)cc1,IC50,=,199.53,nM
CHEMBL18978,Cc1c(C)c2ccc(OS(=O)(=O)c3ccccc3)cc2oc1=O,IC50,=,15.85,nM
CHEMBL145292,O=c1oc2cc(OCc3ccccc3)ccc2c2ccccc12,IC50,=,1.122,nM
CHEMBL146222,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCCC2,IC50,=,1.778,nM
CHEMBL142799,O=c1oc2cc(OCc3ccccc3)ccc2c2c1CCC2,IC50,=,0.912,nM
CHEMBL348922,Cc1c(C)c2ccc(NCc3ccccc3)cc2oc1=O,IC50,=,1.38,nM
CHEMBL111309,Cc1c(C)c2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,1.072,nM
CHEMBL145374,O=c1cc(-c2ccccc2)c2ccc(OCc3ccccc3)cc2o1,IC50,=,257.04,nM
CHEMBL145503,Cc1cc(=O)oc2cc(OCc3cccc([N+](=O)[O-])c3)ccc12,IC50,=,3.236,nM
CHEMBL108660,Cc1cc(=O)oc2cc(OCc3ccccc3)ccc12,IC50,=,1.585,nM
CHEMBL143316,O=c1ccc2ccc(CNc3ccccc3)cc2o1,IC50,=,57.54,nM
CHEMBL434695,O=c1ccc2ccc(COc3ccccc3)cc2o1,IC50,=,64.57,nM
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,IC50,=,51000.0,nM
CHEMBL255700,C#CCNCc1ccnc2c(O)cccc12,IC50,=,4240.0,nM
CHEMBL258420,C#CCN(C)Cc1ccnc2c(O)cccc12,IC50,=,57.0,nM
CHEMBL257368,C#CCN1CCN(Cc2ccnc3c(O)cccc23)CC1,IC50,=,64200.0,nM
CHEMBL356385,C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,IC50,=,1500.0,nM
CHEMBL255231,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,IC50,=,120000.0,nM
CHEMBL255230,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,IC50,=,32000.0,nM
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,IC50,=,4.4,nM
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,IC50,=,3.31,nM
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,IC50,=,7.0,nM
CHEMBL255590,NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(C#Cc4ccccc4)o3)CC1)CO2,IC50,=,72000.0,nM
CHEMBL502371,CC1CCCC/C1=N/Nc1nc(-c2ccccc2)cs1,IC50,=,711.23,nM
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,IC50,=,7540.0,nM
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,IC50,=,19.6,nM
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,IC50,=,61350.0,nM
CHEMBL498683,CC1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,=,26.23,nM
CHEMBL498507,CC1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,=,32.33,nM
CHEMBL457535,COc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1,IC50,=,2370.0,nM
CHEMBL498506,Cc1ccc(-c2csc(N/N=C3/CCCCC3C)n2)cc1,IC50,=,142.64,nM
CHEMBL498505,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,IC50,=,14.2,nM
CHEMBL496281,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2Cl)cs1,IC50,=,26810.0,nM
CHEMBL496280,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,IC50,=,203.83,nM
CHEMBL496279,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2)cs1,IC50,=,13120.0,nM
CHEMBL497674,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,IC50,=,47.24,nM
CHEMBL508324,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,=,32.48,nM
CHEMBL456150,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(C#N)cc2)cs1,IC50,=,63.02,nM
CHEMBL453703,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,=,9.8,nM
CHEMBL498694,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,IC50,=,16.58,nM
CHEMBL497676,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,IC50,=,30.08,nM
CHEMBL497675,C[C@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,IC50,=,36.06,nM
CHEMBL524447,C[C@@H]1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,IC50,=,22.01,nM
CHEMBL472080,O=C(NC1CCCCC1)c1cc2ccccc2oc1=O,IC50,=,500.0,nM
CHEMBL472081,CC(C)NC(=O)c1cc2ccccc2oc1=O,IC50,=,25360.0,nM
CHEMBL512883,CC(C)CNC(=O)c1cc2ccccc2oc1=O,IC50,=,3270.0,nM
CHEMBL472638,NCCNC(=O)c1cc2ccccc2oc1=O,IC50,=,7680.0,nM
CHEMBL494795,O=C(Nc1ccccc1)c1cc2ccccc2oc1=O,IC50,=,760.0,nM
CHEMBL469350,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccccc2oc1=O,IC50,=,910.0,nM
CHEMBL445184,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,600.0,nM
CHEMBL469362,COc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,640.0,nM
CHEMBL508698,O=C(Nc1cccc(F)c1)c1cc2ccccc2oc1=O,IC50,=,250.0,nM
CHEMBL509345,O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2oc1=O,IC50,=,250.0,nM
CHEMBL512843,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,710.0,nM
CHEMBL469583,CCc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,890.0,nM
CHEMBL470213,CC(C)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,650.0,nM
CHEMBL470420,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,820.0,nM
CHEMBL470220,CSc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,2840.0,nM
CHEMBL470221,O=C(Nc1ccc(F)cc1)c1cc2ccccc2oc1=O,IC50,=,67.0,nM
CHEMBL513209,O=C(O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,1140.0,nM
CHEMBL470226,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,IC50,=,1.4,nM
CHEMBL453410,O=C(Nc1ccc(O)cc1)c1cc2ccccc2oc1=O,IC50,=,800.0,nM
CHEMBL469818,Cc1cccc(Cl)c1NC(=O)c1cc2ccccc2oc1=O,IC50,=,19070.0,nM
CHEMBL511966,Cc1ccc(C)c(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,22450.0,nM
CHEMBL470020,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)c(C)c1,IC50,=,13740.0,nM
CHEMBL511967,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1C,IC50,=,18270.0,nM
CHEMBL512719,Cc1cccc(C)c1NC(=O)c1cc2ccccc2oc1=O,IC50,=,1290.0,nM
CHEMBL472069,O=C(Nc1c(F)cccc1F)c1cc2ccccc2oc1=O,IC50,=,9230.0,nM
CHEMBL471221,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1C,IC50,=,380.0,nM
CHEMBL450518,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1OC,IC50,=,860.0,nM
CHEMBL471232,Cc1cc(C)cc(NC(=O)c2cc3ccccc3oc2=O)c1,IC50,=,700.0,nM
CHEMBL508793,COc1cc(NC(=O)c2cc3ccccc3oc2=O)cc(OC)c1,IC50,=,4180.0,nM
CHEMBL469768,O=C(Nc1c(F)c(F)c(F)c(F)c1F)c1cc2ccccc2oc1=O,IC50,=,460.0,nM
CHEMBL511789,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccccc3oc2=O)c(F)c1F,IC50,=,860.0,nM
CHEMBL513549,O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O,IC50,=,580.0,nM
CHEMBL469976,O=C(NCc1ccccc1)c1cc2ccccc2oc1=O,IC50,=,1960.0,nM
CHEMBL448696,CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1,IC50,=,8890.0,nM
CHEMBL471447,O=C(NC1CCCCC1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,64450.0,nM
CHEMBL499266,CC(C)CNC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,9590.0,nM
CHEMBL512703,CC(C)c1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1,IC50,=,3690.0,nM
CHEMBL470612,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)c(F)c1F,IC50,=,16540.0,nM
CHEMBL472218,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,63520.0,nM
CHEMBL469571,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,61490.0,nM
CHEMBL469782,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1OC,IC50,=,4390.0,nM
CHEMBL469783,COc1cc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc(OC)c1,IC50,=,3360.0,nM
CHEMBL502021,O=C(NCc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,990.0,nM
CHEMBL526897,O=C(NNc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,IC50,=,4520.0,nM
CHEMBL500683,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)c(F)c1F,IC50,=,3450.0,nM
